PERY, 20140806, Consumer Non-Durables

PERY, 20141114, Consumer Non-Durables

PGC, 20130628, Finance

PGC, 20140324, Finance

PGC, 20150619, Finance

PHIIK, 20100305, Transportation

PHIIK, 20111027, Transportation

PICO, 20161202, Finance

PNTR, 20170606, Technology

PKBK, 20140113, Finance

PKBK, 20150320, Finance

PPIH, 20101022, Capital Goods

PPIH, 20130619, Capital Goods

PPIH, 20130912, Capital Goods

PPIH, 20131209, Capital Goods

PPIH, 20160201, Capital Goods

PRSS, 20150220, Consumer Services

PTSI, 20091117, Transportation

PTSI, 20100224, Transportation

PTSI, 20100512, Transportation

PTSI, 20131206, Transportation

PYDS, 20130117, Finance

PYDS, 20141117, Finance

PYDS, 20150205, Finance

PYDS, 20150304, Finance

PYDS, 20161003, Finance

RCMT, 20110407, Technology

RLOG, 20100401, Consumer Services

SCKT, 20170216, Technology

SBFG, 20120709, Finance

SGMA, 20130124, Technology

SGMA, 20170531, Technology

SGMA, 20170731, Technology

SGRP, 20130627, Miscellaneous

SITO, 20160816, Miscellaneous

SKIS, 20170216, Consumer Services

SKY, 20160115, Basic Industries

SKY, 20160421, Basic Industries

SKY, 20160923, Basic Industries

SMBK, 20170601, Finance

SOFO, 20101118, Technology

SSBI, 20130214, n/a

SSBI, 20140218, n/a

SSBI, 20161206, n/a

SYBX, 20170202, n/a

TAX, 20131022, Miscellaneous

TESS, 20100429, Consumer Non-Durables

TISA, 20120417, Technology

TISA, 20131122, Technology

TPHS, 20160805, Consumer Services

TPHS, 20160812, Consumer Services

TREC, 20110103, Energy

TREC, 20120403, Energy

TREC, 20130628, Energy

TREC, 20131016, Energy

TREC, 20161202, Energy

TSQ, 20170317, Consumer Services

UIHC, 20130628, Finance

UIHC, 20131209, Finance

UPLD, 20170127, Technology

UPLD, 20170601, Technology

VDSI, 20110217, Technology

VDSI, 20140724, Technology

VERU, 20090626, Basic Industries

VERU, 20120430, Basic Industries

VERU, 20160310, Basic Industries

VIRC, 20140808, Consumer Durables

VIRC, 20160623, Consumer Durables

VIRC, 20160706, Consumer Durables

VSR, 20130717, Consumer Services

VSR, 20130729, Consumer Services

WLFC, 20100129, Consumer Durables

WLFC, 20120706, Consumer Durables

WLFC, 20121017, Consumer Durables

WLFC, 20131016, Consumer Durables

WLFC, 20160301, Consumer Durables

YERR, 20170608, Finance

ALOT, 20130315, Technology

ALOT, 20130807, Technology

FSNN, 20131017, Technology

IDN, 20120319, Technology

IDN, 20120502, Technology

IDN, 20140319, Technology

IDN, 20140324, Technology

IDN, 20161213, Technology

IDN, 20170505, Technology

IDN, 20170515, Technology

IOTS, 20170823, Technology

KNOP, 20160926, Consumer Services

LAND, 20170201, Consumer Services

LAND, 20170209, Consumer Services

GIGA, 20151201, Capital Goods

NXRT, 20160624, Consumer Services

REED, 20120507, Consumer Non-Durables

WVVI, 20130305, Consumer Non-Durables

WVVI, 20150423, Consumer Non-Durables

WVVI, 20150721, Consumer Non-Durables

WVVI, 20150731, Consumer Non-Durables

TCCO, 20130611, Technology
